Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Total Distance per 90,Running Distance per 90 (15-20 km/h),HSR Distance per 90 (20-25 km/h),Sprinting Distance per 90 (+25 km/h),HI Distance per 90 (+20 km/h),Meter/Min,Max Speed (km/h),Count Medium Acceleration per 90 (1.5 m/s² to 3 m/s²),Count High Acceleration per 90 (+3 m/s²),Count Medium Deceleration per 90 (-1.5 m/s² to -3 m/s²),Count High Deceleration per 90 (-3 m/s²),Count HSR per 90 (20-25 km/h),Count Sprint per 90 (+25 km/h),Count HI per 90 (+20 km/h)
V. Gyökeres,Sporting CP,Sporting CP,CF,26,65000000,2028-06-30,6,587,10,8.65,1,1.56,27.29,39.33,Sweden,"Sweden, Hungary",right,187,90,no,1.07,2.15,35.71,2.45,25,0,0,0.15,0.31,0.5,1.07,0,0,0,0,7.97,1.53,6,0.92,1.33,0,0,34,5.21,55.88,29.412,0.15,1.38,44.44,0.77,60,0.46,33.33,0.46,8.13,52.83,19.47,41.73,9.35,5.21,0.61,18.25,1.99,3.07,20.55,77.61,2.91,52.63,6.44,80.95,4.6,80,18.71,81.15,0.46,33.33,13.07,14.76,0.24,1.38,0.15,0,0.15,100,0.46,0.92,66.67,0.61,25,0.15,100,1.23,0.61,0.46,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,4,100,,,,,,,,,,,,,,
Gonçalo Inácio,Sporting CP,Sporting CP,"LCB, CB",23,45000000,2027-06-30,5,485,0,0.23,0,0,12.99,57.14,Portugal,Portugal,left,185,78,no,5.94,5.2,64.29,3.71,50,0,0,0.19,2.6,4.29,1.11,1,0.19,0,0,0.37,0,0,0,0.04,0,0,2,0.37,50,0,0,0.37,0,0.37,0,0,0,0,0.37,50,1.67,33.33,0.56,1.3,0,59.2,0.37,0,78.31,92.18,32.29,85.63,4.08,100,33.22,97.77,72.19,94.86,5.75,64.52,19.93,36.35,0,0,0,0,0,0,0,12.25,84.85,1.11,16.67,0.74,25,0.19,0,13.36,80.56,0,,0,,0,0,0,0,,,1.3,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Diogo Costa,Porto,Porto,GK,25,45000000,2027-06-30,6,593,0,0,0,0,0.61,75,Portugal,"Portugal, Switzerland",right,188,84,no,0.91,0.3,100,0.15,100,0,0,0,0.61,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,19.73,0.46,0,27.02,89.33,11.69,79.22,0,0,14.87,96.94,21.1,99.28,5.92,53.85,26.8,50.98,0,0,0,0,0,0,0,2.28,40,0.46,0,0.76,0,0,0,3.34,68.18,3,0.46,15,2.28,4,80,5,0.76,2,0.304,0,0.3,0.15,,,,0,0,0,,,,,,,,,,,,,,
M. Hjulmand,Sporting CP,Sporting CP,RCMF,25,40000000,2028-06-30,4,347,0,0.02,1,0.2,11.67,60,Denmark,Denmark,right,185,77,no,8.82,6.74,73.08,1.3,80,0.26,0.41,1.04,3.63,5.75,1.3,0,0,0,0,0.78,0,0,0,0.01,0,0,1,0.26,0,0,0.26,0.52,50,0,0,0.52,50,0,0.78,66.67,2.59,30,0.78,0,0,35.01,0,0.78,46.95,92.27,10.63,87.8,8.3,96.88,20.49,92.41,43.31,95.21,3.11,58.33,17.69,36.83,0.05,0.78,0.26,0.26,0,0,0.26,7.52,86.21,1.56,50,0.52,0,0.52,0.26,6.74,80.77,0,,0,,0,0,0,0,,,0.78,,,0,0,0,0.26,0,0,,,,,,,,,,,,,,
A. Varela,Porto,Porto,"LDMF, RCMF, RDMF",23,35000000,2028-06-30,6,577,0,0.11,0,0.67,9.98,50,Argentina,Argentina,right,177,73,no,5.93,3.43,40.91,1.09,28.57,0.31,0.56,0,4.21,7.57,1.09,1,0.16,0,0,1.4,0,0,0,0.02,0,0,4,0.62,50,0,0,0.16,100,0,0,0.16,100,0,0.62,100,3.12,70,0.31,1.72,0,44.3,0,1.09,57.24,93.19,19.81,85.04,6.4,100,23.24,97.99,52.56,96.44,4.52,55.17,17.41,35.81,0.1,0.78,0,0,0.47,66.67,0.47,10.61,83.82,2.03,76.92,2.03,46.15,1.25,0.16,6.86,95.45,0,,0,,0,0,0,0,,,1.09,,,0.78,0.16,0,2.5,0,0,,,,,,,,,,,,,,
Pedro Gonçalves,Sporting CP,Sporting CP,"LWF, AMF",26,32000000,2027-06-30,5,449,4,3.13,2,2.79,17.84,37.08,Portugal,Portugal,right,173,77,no,4.41,4.61,56.52,1.4,0,0.2,0.34,0.2,1.6,2.7,1,1,0.2,0,0,4.21,0.8,4,0.8,0.63,1,0.2,21,4.21,23.81,19.048,0.4,2.61,38.46,1.8,33.33,0.6,66.67,0.4,4.41,45.45,9.22,34.78,5.41,2.61,0.4,31.07,1.2,0.8,33.88,82.25,10.22,72.55,7.82,82.05,6.41,90.63,30.07,85.33,1.2,100,15.4,21.69,0.56,4.21,0,0,0.4,50,2.2,4.61,69.57,5.21,76.92,0.6,66.67,3.61,0.8,6.01,83.33,0,,0,,0,0,0,0,,,0,,,2,0.2,0,1.8,0,0,,,,,,,,,,,,,,
Pepê,Porto,Porto,"LAMF, LW, RW",27,30000000,2027-06-30,6,428,1,1.35,0,0.67,13.25,46.03,Brazil,"Brazil, Italy",right,175,72,no,4,3.79,55.56,1.26,33.33,0,0,0,1.89,3.21,0.42,1,0.21,0,0,2.73,0.21,1,0.21,0.28,1,0.21,8,1.68,75,12.5,0,1.47,42.86,1.47,42.86,0,0,0.42,2.1,40,6.31,46.67,4,1.68,0.63,19.77,0.84,1.05,27.55,77.86,7.15,52.94,7.78,97.3,6.52,80.65,24.81,81.36,1.26,50,15.92,18.28,0.14,1.68,0.21,0,0.42,0,0.63,2.31,63.64,2.94,35.71,0.42,0,1.26,0.63,3.57,64.71,0,,0,,0,0,0,0,,,0.42,,,0.21,0,0,1.68,0,0,,,,,,,,,,,,,,
O. Kökçü,Benfica,Benfica,"LDMF, LAMF, LCMF",23,27000000,2028-06-30,4,266,1,0.14,1,0.41,11.5,38.24,Netherlands,"Netherlands, Türkiye",right,175,68,no,5.08,4.06,50,0.68,0,0.34,0.63,0,2.71,5,1.69,1,0.34,0,0,2.03,0.34,1,0.34,0.05,0,0,6,2.03,33.33,16.667,0.34,1.02,66.67,0.68,50,0.34,100,0,1.02,33.33,5.75,41.18,0.68,0.68,0,41.62,2.03,1.69,50.08,85.14,15.56,73.91,8.12,100,18.61,87.27,45.68,86.67,3.38,70,17.37,22.12,0.14,1.35,0,0,1.02,33.33,0.34,7.11,71.43,3.72,63.64,0.68,0,1.35,0.68,7.44,90.91,0,,0,,0,0,0,0,,,0,,,1.02,0.34,0,3.38,0,0,,,,,,,,,,,,,,
Marcos Leonardo,Al Hilal,Benfica,"AMF, CF",21,25000000,2029-06-30,3,98,1,1.3,0,0.01,10.1,36.36,Brazil,Brazil,right,177,71,no,0,0,0,1.84,0,0,0,0,0,0,0.92,0,0,0,0,2.76,0.92,0,0,1.2,0,0,6,5.51,33.33,16.667,0,2.76,0,1.84,0,0.92,0,0,1.84,50,5.51,50,6.43,1.84,0,13.78,0,0.92,10.1,45.45,2.76,33.33,1.84,100,1.84,50,7.35,62.5,0,0,29.06,0,0.01,0.92,0,0,0.92,0,0,0.92,0,3.67,50,0.92,0,1.84,0,0.92,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100,,,,,,,,,,,,,,
Galeno,Porto,Porto,"LB, LW, LAMF",26,25000000,2028-06-30,6,589,4,3.4,0,0.7,15.28,53,Brazil,"Brazil, Portugal",right,179,62,no,5.96,3.67,62.5,2.29,33.33,0,0,0.15,3.67,6.55,1.07,1,0.15,0,0,4.28,0.61,1,0.15,0.52,0,0,18,2.75,55.56,22.222,0,1.83,41.67,1.83,41.67,0,0,0.31,2.9,68.42,6.57,55.81,1.99,1.99,1.53,27.2,1.99,1.83,36.37,83.61,9.78,71.88,8.25,92.59,12.07,84.81,32.55,88.73,2.14,35.71,18.73,33.72,0.11,0.76,0.15,0,0.15,0,0.31,3.21,47.62,3.21,57.14,0.61,0,1.22,0.92,5.2,85.29,0,,0,,0,0,0,0,,,1.07,,,0,0,0,0.61,3,100,,,,,,,,,,,,,,
